               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.033662,            0.014946,                   0,              6.0007,            0.004229,                 0.2,           0.0020829,          0.00020829,            0.027785,            0.015745,                   0,              6.0158,           0.0022365,           0.0022365,           0.0022365
                  91,            0.024777,            0.014074,                   0,              4.7141,            0.004229,                 0.2,           0.0020829,          0.00020829,            0.027785,            0.015745,                   0,              6.0158,           0.0021958,           0.0021958,           0.0021958
                  92,             0.03334,            0.015599,                   0,              6.6304,             0.49408,                 0.2,             0.11135,            0.030703,             0.03291,            0.015016,                   0,               6.071,           0.0021588,           0.0021588,           0.0021588
                  93,            0.037002,            0.014252,                   0,              7.3107,             0.49408,                 0.2,             0.11135,            0.030703,             0.03291,            0.015016,                   0,               6.071,           0.0021257,           0.0021257,           0.0021257
                  94,            0.031089,            0.014987,                   0,              5.9937,             0.49408,                 0.2,             0.11135,            0.030703,             0.03291,            0.015016,                   0,               6.071,           0.0020963,           0.0020963,           0.0020963
                  95,            0.026435,            0.013775,                   0,              4.7495,             0.49408,                 0.2,             0.11135,            0.030703,             0.03291,            0.015016,                   0,               6.071,           0.0020709,           0.0020709,           0.0020709
                  96,            0.035592,            0.015409,                   0,              6.7062,             0.49408,                 0.2,             0.11135,            0.030703,             0.03291,            0.015016,                   0,               6.071,           0.0020492,           0.0020492,           0.0020492
                  97,            0.028957,            0.014435,                   0,              5.6569,           0.0023928,                 0.6,           0.0020149,          0.00037725,            0.035987,            0.014468,                   0,              4.7588,           0.0020315,           0.0020315,           0.0020315
                  98,            0.035074,            0.014395,                   0,              6.5667,           0.0023928,                 0.6,           0.0020149,          0.00037725,            0.035987,            0.014468,                   0,              4.7588,           0.0020178,           0.0020178,           0.0020178
                  99,            0.027358,            0.012897,                   0,              4.9105,           0.0023928,                 0.6,           0.0020149,          0.00037725,            0.035987,            0.014468,                   0,              4.7588,           0.0020079,           0.0020079,           0.0020079
                   0,            0.039966,            0.079208,                   0,              5.3831,          0.00028973,                 0.2,           0.0001258,          5.0318e-05,            0.048315,            0.070348,                   0,              6.4515,             0.00011,             0.00011,             0.09901
                   1,            0.044753,            0.074851,                   0,              6.4501,          0.00065833,                 0.2,          0.00020649,          2.0649e-05,            0.049436,            0.069267,                   0,              6.4477,          0.00022982,          0.00022982,             0.09793
